embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
openl3,guitar,openmic,irmas,0.3834319526627219,0.9364161849710982,0.544080604534005,346.0,0.6740696278511404,0.883289542827115,0.7002588268314437
openl3,organ,openmic,irmas,0.0352941176470588,0.0172413793103448,0.0231660231660231,174.0,0.8481392557022809,0.4112469569504791,0.0849774120803867
openl3,piano,openmic,irmas,0.2597864768683274,0.8588235294117647,0.3989071038251365,170.0,0.7358943577430972,0.8998033972947469,0.7289948442439046
openl3,saxophone,openmic,irmas,0.1582278481012658,0.8333333333333334,0.2659574468085107,150.0,0.5858343337334934,0.7705145118733508,0.2782976706792472
openl3,trumpet,openmic,irmas,0.1388074291300097,0.9466666666666668,0.2421142369991474,150.0,0.4663865546218487,0.889551451187335,0.5669272596296122
openl3,violin,openmic,irmas,0.2107355864811133,0.7412587412587412,0.328173374613003,143.0,0.7394957983193278,0.8234254255265419,0.3679600480446907
openl3,voice,openmic,irmas,0.4,0.9842931937172776,0.5688350983358548,191.0,0.8289315726290516,0.9859934333126276,0.940110506459901
yamnet,cello,irmas,irmas,0.3539094650205761,0.9148936170212766,0.5103857566765578,94.0,0.9009603841536614,0.9606477721834228,0.7602733937069112
yamnet,clarinet,irmas,irmas,0.36,0.8503937007874016,0.5058548009367682,127.0,0.8733493397358943,0.930054795782106,0.7213095730148867
yamnet,flute,irmas,irmas,0.4279279279279279,0.7851239669421488,0.5539358600583091,121.0,0.9081632653061223,0.9348738933911044,0.6995791991388965
yamnet,guitar,irmas,irmas,0.7180094786729858,0.8757225433526011,0.7890625000000001,346.0,0.9027611044417768,0.9659025223331582,0.8915938491764002
yamnet,organ,irmas,irmas,0.6509803921568628,0.9540229885057472,0.7738927738927739,174.0,0.9417767106842736,0.9872538596653416,0.8884312909647434
yamnet,piano,irmas,irmas,0.734375,0.8294117647058824,0.7790055248618785,170.0,0.9519807923169268,0.9648041837055678,0.8640039266253265
yamnet,saxophone,irmas,irmas,0.3514285714285714,0.82,0.492,150.0,0.8475390156062425,0.9115655233069482,0.6150946385501257
yamnet,trumpet,irmas,irmas,0.5269709543568465,0.8466666666666667,0.6496163682864451,150.0,0.9177671068427372,0.953447669305189,0.80480249533437
yamnet,violin,irmas,irmas,0.3825503355704698,0.7972027972027972,0.5170068027210885,143.0,0.8721488595438175,0.9094352791004136,0.6682492077790109
yamnet,voice,irmas,irmas,0.7905982905982906,0.9685863874345548,0.8705882352941176,191.0,0.9669867947178872,0.9932238885437926,0.9518500383197608
yamnet,cello,openmic,openmic,0.8050847457627118,0.8407079646017699,0.8225108225108225,226.0,0.8309278350515464,0.9106502203847336,0.885844478196338
yamnet,clarinet,openmic,openmic,0.3814814814814815,0.7518248175182481,0.5061425061425061,137.0,0.6859375,0.7813411501792167,0.4591994795259692
yamnet,flute,openmic,openmic,0.4909747292418772,0.7771428571428571,0.6017699115044248,175.0,0.6797153024911032,0.808357327427095,0.6944459179772103
yamnet,guitar,openmic,openmic,0.9890510948905108,0.9475524475524476,0.967857142857143,286.0,0.9587155963302753,0.9908391608391608,0.9960174725730184
yamnet,organ,openmic,openmic,0.5027624309392266,0.7520661157024794,0.6026490066225166,121.0,0.7215777262180975,0.8288723007198081,0.6284536077757812
yamnet,piano,openmic,openmic,0.9554794520547946,0.9789473684210528,0.9670710571923744,285.0,0.9542168674698795,0.9860188933873144,0.9931781180429002
yamnet,saxophone,openmic,openmic,0.8213166144200627,0.8590163934426229,0.8397435897435896,305.0,0.8410174880763116,0.9175672940700264,0.9011638852510536
yamnet,trumpet,openmic,openmic,0.7291666666666666,0.7704402515723271,0.7492354740061162,318.0,0.7910828025477707,0.879674895290426,0.8387332918984414
yamnet,violin,openmic,openmic,0.896640826873385,0.8807106598984772,0.8886043533930857,394.0,0.8621236133122029,0.9336460408233204,0.9526303902083088
yamnet,voice,openmic,openmic,0.9318181818181818,0.9151785714285714,0.9234234234234232,224.0,0.9090909090909092,0.970654761904762,0.9813231139949128
yamnet,cello,irmas,openmic,0.6529850746268657,0.7743362831858407,0.7085020242914981,226.0,0.7030927835051546,0.7626507670755459,0.7269328263908703
yamnet,clarinet,irmas,openmic,0.375,0.4817518248175182,0.4217252396166134,137.0,0.7171875,0.6970730362351439,0.385437279653378
yamnet,flute,irmas,openmic,0.4420600858369098,0.5885714285714285,0.5049019607843136,175.0,0.6405693950177936,0.683528977482466,0.4764796941589954
yamnet,guitar,irmas,openmic,0.9736842105263158,0.9055944055944056,0.9384057971014492,286.0,0.9220183486238532,0.9825874125874126,0.99205204978577
yamnet,organ,irmas,openmic,0.4333333333333333,0.7520661157024794,0.5498489425981873,121.0,0.654292343387471,0.764969341508931,0.5915615865009217
yamnet,piano,irmas,openmic,0.9669421487603306,0.8210526315789474,0.888045540796964,285.0,0.8578313253012049,0.9561943319838055,0.9805785863095308
yamnet,saxophone,irmas,openmic,0.7248322147651006,0.7081967213114754,0.7164179104477612,305.0,0.7281399046104928,0.7990082979154018,0.7851015302559773
yamnet,trumpet,irmas,openmic,0.6952380952380952,0.6886792452830188,0.6919431279620852,318.0,0.7515923566878981,0.8028901189177541,0.7362406286869712
yamnet,violin,irmas,openmic,0.8693181818181818,0.7766497461928934,0.8203753351206434,394.0,0.7876386687797148,0.8542054873738997,0.9032648423250504
yamnet,voice,irmas,openmic,0.9497716894977168,0.9285714285714286,0.9390519187358916,224.0,0.927807486631016,0.974077380952381,0.9824815776963076
yamnet,cello,openmic,irmas,0.1589147286821705,0.8723404255319149,0.2688524590163934,94.0,0.7322929171668667,0.8955795571436305,0.611739340721139
yamnet,clarinet,openmic,irmas,0.1942959001782531,0.8582677165354331,0.3168604651162791,127.0,0.7178871548619448,0.8837111735302093,0.5654036123097651
yamnet,flute,openmic,irmas,0.1273148148148148,0.9090909090909092,0.2233502538071066,121.0,0.5408163265306123,0.8705501618122978,0.5271660246474013
yamnet,guitar,openmic,irmas,0.5081967213114754,0.8063583815028902,0.623463687150838,346.0,0.7977190876350541,0.8985155018392013,0.7183718848263942
yamnet,organ,openmic,irmas,0.1153846153846153,0.2586206896551724,0.1595744680851064,174.0,0.7154861944777912,0.5520399987673724,0.1290892461090725
yamnet,piano,openmic,irmas,0.2264462809917355,0.8058823529411765,0.3535483870967741,170.0,0.6992797118847539,0.8450849323686693,0.5754970718282894
yamnet,saxophone,openmic,irmas,0.2057692307692307,0.7133333333333334,0.3194029850746269,150.0,0.7262905162064826,0.8072559366754617,0.3291861894374116
yamnet,trumpet,openmic,irmas,0.2591876208897485,0.8933333333333333,0.4017991004497751,150.0,0.7605042016806722,0.9113808267370272,0.6625410028952273
yamnet,violin,openmic,irmas,0.210720887245841,0.7972027972027972,0.3333333333333333,143.0,0.7262905162064826,0.8397256059764266,0.3938547758145205
yamnet,voice,openmic,irmas,0.3787575150300601,0.9895287958115184,0.5478260869565217,191.0,0.8127250900360145,0.9824225752063184,0.8894062694427247
