embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
vggish,cello,irmas,irmas,0.3018867924528302,0.851063829787234,0.4456824512534819,94.0,0.8805522208883554,0.942023983541768,0.626529950761074
vggish,clarinet,irmas,irmas,0.2567901234567901,0.8188976377952756,0.3909774436090226,127.0,0.8055222088835534,0.891124720521046,0.481052636268128
vggish,flute,irmas,irmas,0.3344827586206896,0.8016528925619835,0.4720194647201947,121.0,0.8697478991596639,0.9084704057343068,0.6222629719333338
vggish,guitar,irmas,irmas,0.6206896551724138,0.8323699421965318,0.7111111111111112,346.0,0.8595438175270108,0.9318685409003328,0.8293499924982638
vggish,organ,irmas,irmas,0.4563380281690141,0.9310344827586208,0.612476370510397,174.0,0.8769507803121248,0.9687182213182952,0.7627955682474811
vggish,piano,irmas,irmas,0.6457399103139013,0.8470588235294118,0.7328244274809159,170.0,0.9369747899159664,0.9618000943692984,0.8292364562328479
vggish,saxophone,irmas,irmas,0.2712328767123287,0.66,0.3844660194174757,150.0,0.8097238895558223,0.8177836411609498,0.3788155361913347
vggish,trumpet,irmas,irmas,0.3648208469055374,0.7466666666666667,0.4901531728665207,150.0,0.8601440576230492,0.8908751099384344,0.6213481754211717
vggish,violin,irmas,irmas,0.2903225806451613,0.6923076923076923,0.4090909090909091,143.0,0.8283313325330132,0.8622244465973947,0.4904673875915336
vggish,voice,irmas,irmas,0.7669491525423728,0.9476439790575916,0.847775175644028,191.0,0.960984393757503,0.9871186440677966,0.936182764532432
vggish,cello,openmic,openmic,0.7713178294573644,0.8805309734513275,0.822314049586777,226.0,0.822680412371134,0.8882700652612158,0.849726251019937
vggish,clarinet,openmic,openmic,0.3451612903225806,0.781021897810219,0.4787472035794183,137.0,0.6359375,0.7458170683925642,0.4186067029463182
vggish,flute,openmic,openmic,0.4870848708487085,0.7542857142857143,0.5919282511210763,175.0,0.6761565836298933,0.7787670727205611,0.6174763638916035
